Date,Price
1/3/2000,290.30
1/4/2000,281.50
1/5/2000,280.50
1/6/2000,279.40
1/7/2000,282.10
1/10/2000,281.60
1/11/2000,282.30
1/12/2000,282.30
1/13/2000,282.10
1/14/2000,283.30
1/17/2000,285.40
1/18/2000,285.80
1/19/2000,287.70
1/20/2000,288.10
1/21/2000,287.80
1/24/2000,287.20
1/25/2000,288.00
1/26/2000,285.90
1/27/2000,285.60
1/28/2000,286.80
1/31/2000,283.30
2/1/2000,283.00
2/2/2000,285.60
2/3/2000,285.10
2/4/2000,293.70
2/7/2000,312.70
2/8/2000,296.30
2/9/2000,308.60
2/10/2000,309.00
2/11/2000,311.50
2/14/2000,308.40
2/15/2000,304.30
2/16/2000,302.50
2/17/2000,304.80
2/18/2000,303.60
2/21/2000,305.30
2/22/2000,302.30
2/23/2000,302.00
2/24/2000,298.80
2/25/2000,294.00
2/28/2000,292.50
2/29/2000,293.70
3/1/2000,292.90
3/2/2000,289.90
3/3/2000,288.50
3/6/2000,288.80
3/7/2000,289.80
3/8/2000,291.20
3/9/2000,290.50
3/10/2000,290.30
3/13/2000,290.70
3/14/2000,288.80
3/15/2000,289.20
3/16/2000,287.40
3/17/2000,283.90
3/20/2000,285.80
3/21/2000,285.20
3/22/2000,287.80
3/23/2000,284.80
3/24/2000,284.90
3/27/2000,284.20
3/28/2000,280.70
3/29/2000,279.80
3/30/2000,275.80
3/31/2000,276.80
4/3/2000,277.50
4/4/2000,276.90
4/5/2000,281.30
4/6/2000,279.40
4/7/2000,280.20
4/10/2000,282.30
4/11/2000,282.50
4/12/2000,280.40
4/13/2000,281.40
4/14/2000,282.00
4/17/2000,281.80
4/18/2000,281.10
4/19/2000,281.40
4/20/2000,279.90
4/21/2000,279.90
4/24/2000,279.90
4/25/2000,279.50
4/26/2000,276.20
4/27/2000,276.00
4/28/2000,275.10
5/1/2000,275.10
5/2/2000,275.50
5/3/2000,275.60
5/4/2000,280.00
5/5/2000,280.80
5/8/2000,277.90
5/9/2000,276.30
5/10/2000,277.60
5/11/2000,276.80
5/12/2000,276.70
5/15/2000,275.10
5/16/2000,276.00
5/17/2000,273.10
5/18/2000,272.80
5/19/2000,273.20
5/22/2000,274.00
5/23/2000,274.10
5/24/2000,273.70
5/25/2000,273.40
5/26/2000,271.30
5/29/2000,271.30
