Date,Price,USD / MYR Price
12/29/1978,226.00,#N/A
1/1/1979,226.00,#N/A
1/2/1979,226.80,#N/A
1/3/1979,218.60,#N/A
1/4/1979,223.20,#N/A
1/5/1979,225.50,#N/A
1/8/1979,223.10,#N/A
1/9/1979,224.00,#N/A
1/10/1979,220.70,#N/A
1/11/1979,220.70,#N/A
1/12/1979,217.60,#N/A
1/15/1979,216.90,#N/A
1/16/1979,220.70,#N/A
1/17/1979,227.30,#N/A
1/18/1979,231.80,#N/A
1/19/1979,230.60,#N/A
1/22/1979,235.00,#N/A
1/23/1979,230.00,#N/A
1/24/1979,236.10,#N/A
1/25/1979,233.90,#N/A
1/26/1979,235.50,#N/A
1/29/1979,235.20,#N/A
1/30/1979,233.50,#N/A
1/31/1979,233.70,#N/A
2/1/1979,229.40,#N/A
2/2/1979,230.30,#N/A
2/5/1979,243.10,#N/A
2/6/1979,244.50,#N/A
2/7/1979,251.60,#N/A
2/8/1979,250.50,#N/A
2/9/1979,246.80,#N/A
2/12/1979,244.30,#N/A
2/13/1979,240.60,#N/A
2/14/1979,240.70,#N/A
2/15/1979,247.80,#N/A
2/16/1979,247.10,#N/A
2/19/1979,248.10,#N/A
2/20/1979,247.00,#N/A
2/21/1979,250.80,#N/A
2/22/1979,252.40,#N/A
2/23/1979,251.00,#N/A
2/26/1979,248.60,#N/A
2/27/1979,247.90,#N/A
2/28/1979,251.30,#N/A
3/1/1979,248.80,#N/A
3/2/1979,248.00,#N/A
3/5/1979,238.20,#N/A
3/6/1979,239.80,#N/A
3/7/1979,242.30,#N/A
3/8/1979,239.20,#N/A
3/9/1979,241.00,#N/A
3/12/1979,240.00,#N/A
3/13/1979,239.10,#N/A
3/14/1979,239.50,#N/A
3/15/1979,240.10,#N/A
3/16/1979,244.00,#N/A
3/19/1979,242.30,#N/A
3/20/1979,242.10,#N/A
3/21/1979,239.90,#N/A
3/22/1979,242.90,#N/A
3/23/1979,242.50,#N/A
3/26/1979,245.30,#N/A
3/27/1979,244.40,#N/A
3/28/1979,244.40,#N/A
3/29/1979,241.50,#N/A
3/30/1979,240.10,#N/A
4/2/1979,239.70,#N/A
4/3/1979,240.00,#N/A
4/4/1979,239.80,#N/A
4/5/1979,240.70,#N/A
4/6/1979,239.80,#N/A
4/9/1979,240.20,#N/A
4/10/1979,239.80,#N/A
4/11/1979,238.40,#N/A
4/12/1979,234.00,#N/A
4/13/1979,234.00,#N/A
4/16/1979,234.00,#N/A
4/17/1979,231.90,#N/A
4/18/1979,233.20,#N/A
4/19/1979,240.90,#N/A
4/20/1979,236.40,#N/A
4/23/1979,236.90,#N/A
4/24/1979,239.70,#N/A
4/25/1979,241.80,#N/A
4/26/1979,242.20,#N/A
4/27/1979,243.70,#N/A
4/30/1979,245.30,#N/A
5/1/1979,247.30,#N/A
5/2/1979,246.30,#N/A
5/3/1979,246.50,#N/A
5/4/1979,248.50,#N/A
5/7/1979,248.50,#N/A
5/8/1979,249.00,#N/A
5/9/1979,248.00,#N/A
5/10/1979,252.30,#N/A
5/11/1979,251.50,#N/A
5/14/1979,251.00,#N/A
5/15/1979,255.50,#N/A
5/16/1979,256.50,#N/A
5/17/1979,256.80,#N/A
5/18/1979,256.40,#N/A
5/21/1979,262.00,#N/A
5/22/1979,265.40,#N/A
5/23/1979,264.20,#N/A
5/24/1979,263.80,#N/A
5/25/1979,270.60,#N/A
5/28/1979,270.60,#N/A
5/29/1979,273.80,#N/A
5/30/1979,270.30,#N/A
5/31/1979,274.60,#N/A
6/1/1979,275.10,#N/A
6/4/1979,272.90,#N/A
6/5/1979,274.80,#N/A
6/6/1979,280.00,#N/A
6/7/1979,276.10,#N/A
6/8/1979,280.00,#N/A
6/11/1979,282.40,#N/A
6/12/1979,277.80,#N/A
6/13/1979,276.60,#N/A
6/14/1979,279.00,#N/A
6/15/1979,280.00,#N/A
6/18/1979,278.00,#N/A
6/19/1979,280.30,#N/A
6/20/1979,281.40,#N/A
6/21/1979,282.30,#N/A
6/22/1979,283.50,#N/A
6/25/1979,283.90,#N/A
6/26/1979,281.50,#N/A
6/27/1979,281.80,#N/A
6/28/1979,275.90,#N/A
6/29/1979,277.50,#N/A
7/2/1979,282.50,#N/A
7/3/1979,281.40,#N/A
7/4/1979,283.50,#N/A
7/5/1979,288.30,#N/A
7/6/1979,290.30,#N/A
7/9/1979,287.90,#N/A
7/10/1979,290.50,#N/A
7/11/1979,290.30,#N/A
7/12/1979,290.80,#N/A
7/13/1979,287.50,#N/A
