Date,Price,USD / MYR Price
1/3/2000,290.30,3.8
1/4/2000,281.50,3.8
1/5/2000,280.50,3.8
1/6/2000,279.40,3.8
1/7/2000,282.10,3.8
1/10/2000,281.60,3.8
1/11/2000,282.30,3.7999
1/12/2000,282.30,3.8
1/13/2000,282.10,3.7999
1/14/2000,283.30,3.8
1/17/2000,285.40,3.7999
1/18/2000,285.80,3.7999
1/19/2000,287.70,3.8
1/20/2000,288.10,3.8
1/21/2000,287.80,3.8
1/24/2000,287.20,3.7999
1/25/2000,288.00,3.7999
1/26/2000,285.90,3.7999
1/27/2000,285.60,3.7999
1/28/2000,286.80,3.8
1/31/2000,283.30,3.7999
2/1/2000,283.00,3.7999
2/2/2000,285.60,3.8
2/3/2000,285.10,3.8
2/4/2000,293.70,3.8
2/7/2000,312.70,3.8
2/8/2000,296.30,3.8
2/9/2000,308.60,3.8
2/10/2000,309.00,3.8
2/11/2000,311.50,3.8
2/14/2000,308.40,3.7999
2/15/2000,304.30,3.7999
2/16/2000,302.50,3.8
2/17/2000,304.80,3.7999
2/18/2000,303.60,3.8
2/21/2000,305.30,3.8
2/22/2000,302.30,3.8
2/23/2000,302.00,3.8
2/24/2000,298.80,3.8
2/25/2000,294.00,3.8
2/28/2000,292.50,3.8
2/29/2000,293.70,3.7999
3/1/2000,292.90,3.8
3/2/2000,289.90,3.8
3/3/2000,288.50,3.8
3/6/2000,288.80,3.8
3/7/2000,289.80,3.8
3/8/2000,291.20,3.8
3/9/2000,290.50,3.8
3/10/2000,290.30,3.8
3/13/2000,290.70,3.8
3/14/2000,288.80,3.8
3/15/2000,289.20,3.8
3/16/2000,287.40,3.8
3/17/2000,283.90,3.7999
3/20/2000,285.80,3.8
3/21/2000,285.20,3.7999
3/22/2000,287.80,3.8
3/23/2000,284.80,3.8
3/24/2000,284.90,3.7999
3/27/2000,284.20,3.8
3/28/2000,280.70,3.7999
3/29/2000,279.80,3.8
3/30/2000,275.80,3.7999
3/31/2000,276.80,3.8
4/3/2000,277.50,3.7999
4/4/2000,276.90,3.7999
4/5/2000,281.30,3.8
4/6/2000,279.40,3.7999
4/7/2000,280.20,3.8
4/10/2000,282.30,3.7999
4/11/2000,282.50,3.8
4/12/2000,280.40,3.7999
