Date,Price
7/5/2019,"1,388.7"
7/8/2019,"1,400.1"
7/9/2019,"1,391.6"
7/10/2019,"1,408.3"
7/11/2019,"1,413.8"
7/12/2019,"1,407.6"
7/15/2019,"1,412.4"
7/16/2019,"1,409.9"
7/17/2019,"1,410.4"
7/18/2019,"1,417.5"
7/19/2019,"1,439.7"
7/22/2019,"1,427.8"
7/23/2019,"1,425.6"
7/24/2019,"1,427.0"
7/25/2019,"1,416.1"
7/26/2019,"1,420.4"
7/29/2019,"1,419.1"
7/30/2019,"1,425.9"
7/31/2019,"1,427.6"
8/1/2019,"1,406.8"
8/2/2019,"1,441.8"
8/5/2019,"1,465.3"
8/6/2019,"1,465.3"
8/7/2019,"1,506.1"
8/8/2019,"1,495.8"
8/9/2019,"1,497.7"
8/12/2019,"1,504.7"
8/13/2019,"1,498.4"
8/14/2019,"1,513.3"
8/15/2019,"1,515.7"
8/16/2019,"1,515.3"
8/19/2019,"1,496.6"
8/20/2019,"1,504.6"
8/21/2019,"1,503.3"
8/22/2019,"1,502.1"
8/23/2019,"1,503.8"
8/26/2019,"1,503.8"
8/27/2019,"1,533.0"
8/28/2019,"1,537.2"
8/29/2019,"1,540.2"
8/30/2019,"1,528.4"
9/2/2019,"1,526.0"
9/3/2019,"1,537.9"
9/4/2019,"1,546.1"
9/5/2019,"1,529.1"
9/6/2019,"1,523.7"
9/9/2019,"1,509.2"
9/10/2019,"1,498.3"
9/11/2019,"1,490.7"
9/12/2019,"1,515.2"
9/13/2019,"1,503.1"
9/16/2019,"1,497.2"
9/17/2019,"1,502.1"
9/18/2019,"1,503.5"
9/19/2019,"1,500.7"
9/20/2019,"1,501.9"
